"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"1_CA_TWL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2_CA_NONTWL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3_CA_REC","-4.91081","-5.19794","-4.6449","-4.90761","-4.93287","-5.33043","-4.77284","-5.30539","-5.38252","-2.42804","-4.91907","-4.95423","-4.91497","-4.87292","-4.91251","-4.91077","-4.97841","-4.84067","-4.81527","-4.96238","-5.19794","-4.57762","-5.47145","-5.38009","-6.06282","-5.31561","-4.91239"
"4_ORWA_TWL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5_ORWA_NONTWL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6_OR_REC","-16.2106","-16.761","-15.3397","-16.2557","-16.2715","-16.6787","-16.0276","-16.6557","-15.9255","-15.9095","-16.2216","-16.2142","-16.2065","-16.2474","-16.2231","-16.2106","-16.1887","-16.2992","-16.319","-16.1827","-16.761","-19.2452","-15.3592","-16.7488","-16.4093","-16.597","-16.2232"
"7_WA_REC","-5.33323","-6.64703","-3.66191","-5.47264","-5.47433","-12.5493","-16.6099","-12.7818","-7.44877","-0.80588","-5.4948","-5.63025","-5.34514","-5.36638","-5.4896","-5.33312","-5.22338","-5.66293","-5.65591","-5.23053","-6.64703","-7.7666","-18.6122","-10.4288","-6.29772","-5.41765","-5.48922"
"8_CACPFV","-5.93077","-5.493","-6.56473","-5.90763","-5.84238","-2.80198","-1.81679","-2.73381","-4.75967","-9.02529","-5.83884","-5.81873","-5.92298","-5.97494","-5.90075","-5.93084","-4.40834","-6.68315","-7.12087","-5.04877","-5.493","-5.04395","-4.11969","-5.44567","-5.5456","-5.15684","-5.90099"
"9_OR_RECOB","0.616586","0.630726","0.562605","0.618","0.606374","0.632345","0.641215","0.63262","0.639174","0.653767","0.615155","0.616458","0.6166","0.614363","0.614965","0.616585","0.593442","0.625218","0.631628","0.6041","0.630726","0.958261","0.666193","0.626353","0.659532","0.672256","0.614963"
"10_TRI_ORWA","-1.48889","-1.23309","-1.77903","-1.46606","-1.45029","-0.0764892","0.783643","-0.0282678","-1.17471","-1.71302","-1.45238","-1.44376","-1.48756","-1.47467","-1.46081","-1.4889","-1.48189","-1.4343","-1.44607","-1.49231","-1.23309","-1.44681","2.23702","-0.0826978","-1.25884","-1.59634","-1.46084"
"11_NWFSC_ORWA","-5.5521","-5.60941","-5.48439","-5.56466","-5.57089","-5.654","-5.69337","-5.65669","-5.4759","-5.68903","-5.563","-5.55837","-5.55142","-5.569","-5.56354","-5.55211","-5.56612","-5.56149","-5.54871","-5.55868","-5.60941","-5.5535","-5.50287","-5.70716","-5.41223","-5.50529","-5.56356"
"12_IPHC_ORWA","-0.0957312","-0.384265","0.061299","-0.16354","-0.201187","-0.681878","-1.15184","-0.703644","0.165845","-0.89533","-0.153316","-0.137923","-0.0933232","-0.180935","-0.159401","-0.095768","-0.107089","-0.170264","-0.112156","-0.0969487","-0.384265","0.395141","-2.81392","-1.32075","0.45663","0.18963","-0.159509"
"1_CA_TWL1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2_CA_NONTWL1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3_CA_REC1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4_ORWA_TWL1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5_ORWA_NONTWL1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6_OR_REC1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7_WA_REC1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8_CACPFV1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9_OR_RECOB1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10_TRI_ORWA1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11_NWFSC_ORWA1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12_IPHC_ORWA1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1_CA_TWL2","176.187","176.466","174.682","176.094","176.028","177.692","178.351","177.734","176.277","175.918","176.114","176.098","176.187","176.095","176.095","176.187","176.378","176.039","176.087","176.291","176.466","174.929","174.681","106.767","176.063","230.646","176.095"
"2_CA_NONTWL2","90.1211","90.5232","90.5803","90.396","90.5464","89.6397","89.5146","89.6217","90.0369","89.9473","90.4191","90.3618","90.1201","90.3982","90.3838","90.1211","91.1593","89.8129","89.2931","90.6967","90.5232","81.7426","92.1766","90.785","87.6021","88.1735","90.3838"
"3_CA_REC2","247.935","246.312","248.902","248.006","248.331","247.843","248.226","247.847","248.095","247.863","248.147","248.123","247.938","248.099","248.118","247.935","249.636","247.417","246.991","248.85","246.312","241.4","243.569","226.408","262.878","279.443","248.118"
"4_ORWA_TWL2","46.1339","47.005","47.9534","46.4906","46.6015","45.3536","45.259","45.3456","45.7667","47.838","46.4501","46.3956","46.129","46.4599","46.4187","46.134","46.4232","46.1902","45.8988","46.2945","47.005","57.9468","42.991","173.292","47.1275","66.5676","46.4189"
"5_ORWA_NONTWL2","78.9133","78.4551","78.6054","78.9244","78.6603","77.9328","77.4845","77.9073","78.3955","81.2914","78.8618","78.8287","78.9039","78.9203","78.857","78.9135","78.8929","78.8694","78.9485","78.91","78.4551","101.1","74.4402","90.5306","79.5114","117.209","78.8573"
"6_OR_REC2","142.365","141.942","140.39","143.168","143.318","137.061","136.191","136.919","140.825","147.099","143.524","143.352","142.347","143.657","143.497","142.365","143.256","142.829","141.262","142.948","141.942","158.799","133.582","78.2092","125.08","165.451","143.498"
"7_WA_REC2","80.216","84.0325","84.4171","84.1762","91.2041","80.4687","86.0388","80.4807","80.2434","80.1134","84.1712","84.2008","80.2176","84.1082","84.1546","80.216","80.1238","84.0802","80.3161","80.1525","84.0325","89.3401","75.2605","35.8117","97.3523","80.5973","84.1544"
"8_CACPFV2","144.668","144.113","147.377","145.046","145.323","142.778","142.267","142.736","144.219","146.894","144.776","144.795","144.662","144.85","144.812","144.668","144.843","144.853","144.896","144.7","144.113","154.744","147.82","59.5001","148.989","143.467","144.812"
"9_OR_RECOB2","102.923","103.314","104.45","103.363","103.194","101.096","101.123","101.061","101.608","107.195","103.371","103.292","102.911","103.538","103.419","102.923","101.687","104.111","103.975","102.202","103.314","107.779","97.5029","86.8212","101.227","100.271","103.42"
