ParName   Value   Gradient
MGparm[2]      8.85795 1.30342e-005
MGparm[3]      63.3447 2.28774e-005
MGparm[4]    0.0646694 3.52619e-005
MGparm[5]     0.180409 2.53392e-006
MGparm[6]    0.0560404 1.44103e-005
MGparm[15]     0.436646 -0.000234533
SR_parm[1]      5.38244  0.000210149
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
Fcast_impl_error(2025)            0            0
Fcast_impl_error(2026)            0            0
Fcast_impl_error(2027)            0            0
Fcast_impl_error(2028)            0            0
Q_parm[2]      0.13285 2.64714e-006
Q_parm[4]    0.0692495 1.24483e-006
Q_parm[6]     0.336988 -8.11496e-006
Q_parm[8]     0.138946 -2.25296e-006
Q_parm[10]     0.219686 -1.1841e-006
Q_parm[12]      0.12137 -4.69892e-006
Q_parm[16]     0.146767 -3.33791e-006
Q_parm[17]    -0.275216 -3.74067e-006
selparm[1]      44.5123 4.43951e-006
selparm[3]      4.86636 -3.86728e-006
selparm[4]      18.3083 2.89272e-007
selparm[7]      46.3456 3.75725e-007
selparm[9]      5.17881 -1.13362e-005
selparm[10]      17.6169 -1.96102e-008
selparm[13]       42.456 9.37379e-006
selparm[15]      5.17693 -1.47136e-005
selparm[19]      59.9977 1.57225e-006
selparm[21]      6.06984 1.01228e-005
selparm[22]      16.2646 -1.18222e-007
selparm[25]      55.5101 -6.59175e-006
selparm[27]      5.79037 1.70039e-005
selparm[31]      38.5986 -7.97826e-006
selparm[33]      4.32509 -1.88611e-005
selparm[37]      32.3116 2.59409e-005
selparm[39]     0.605155 -3.35369e-006
selparm[43]      28.4319 -4.61381e-006
selparm[45]        3.612 3.00065e-006
selparm[49]      79.9689 -4.52235e-008
selparm[51]      7.03221 -3.49428e-006
selparm[55]      56.3503 -4.26936e-006
selparm[57]      6.70602 1.39215e-005
selparm[61]      55.7683 -2.10763e-006
selparm[63]      4.33266 4.58335e-006
