"","Label","Type","Reference","NWFSC biased","WDFW biased","WDFW w/ ADFG","NWFSC w/ ADFG","M est","NMT prior, fixed","NMT prior, est.","h est","2011 h value","2011 L-W","2011 maturity","spline maturity","2011 fecundity","All years -50%","All years +50%","Comm. -50%","Comm. +50%","Rec. -50%","Rec. +50%","Lumped comp data","No rec devs","Est. dome sel","harm. mean wgting","1 area","2 sex","Rec. sel. dome"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"AIC",11783.74,11856.34,11840.2,11788.44,11811,11764.8,11777.6,11764.42,11778.16,11826.96,11793.44,11792.46,11783.62,11793.82,11793,11783.74,11797.54,11786,11773.98,11791.48,11856.34,11909.92,11679.34,9820.76,11837.38,9942.14,11793
"11",NA,"deltaAIC",0,72.6000000000004,56.4600000000009,4.70000000000073,27.2600000000002,-18.9400000000005,-6.13999999999942,-19.3199999999997,-5.57999999999993,43.2199999999993,9.70000000000073,8.71999999999935,-0.119999999998981,10.0799999999999,9.26000000000022,0,13.8000000000011,2.26000000000022,-9.76000000000022,7.73999999999978,72.6000000000004,126.18,-104.4,-1962.98,53.6399999999994,-1841.6,9.26000000000022
"2","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"ALL",-38.9055,-40.695,-36.8507,-39.1199,-39.137,-43.1404,-44.6475,-43.2327,-39.362,-35.8123,-39.0279,-39.141,-38.9053,-39.0719,-39.0947,-38.9055,-37.3605,-40.0267,-40.3863,-37.9682,-40.695,-42.2803,-48.9761,-44.4876,-39.8704,-38.7269,-39.0948
"13",NA,"X1_CA_TWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",NA,"X2_CA_NONTWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",NA,"X3_CA_REC",-4.91081,-5.19794,-4.6449,-4.90761,-4.93287,-5.33043,-4.77284,-5.30539,-5.38252,-2.42804,-4.91907,-4.95423,-4.91497,-4.87292,-4.91251,-4.91077,-4.97841,-4.84067,-4.81527,-4.96238,-5.19794,-4.57762,-5.47145,-5.38009,-6.06282,-5.31561,-4.91239
"16",NA,"X4_ORWA_TWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",NA,"X5_ORWA_NONTWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",NA,"X6_OR_REC",-16.2106,-16.761,-15.3397,-16.2557,-16.2715,-16.6787,-16.0276,-16.6557,-15.9255,-15.9095,-16.2216,-16.2142,-16.2065,-16.2474,-16.2231,-16.2106,-16.1887,-16.2992,-16.319,-16.1827,-16.761,-19.2452,-15.3592,-16.7488,-16.4093,-16.597,-16.2232
"19",NA,"X7_WA_REC",-5.33323,-6.64703,-3.66191,-5.47264,-5.47433,-12.5493,-16.6099,-12.7818,-7.44877,-0.80588,-5.4948,-5.63025,-5.34514,-5.36638,-5.4896,-5.33312,-5.22338,-5.66293,-5.65591,-5.23053,-6.64703,-7.7666,-18.6122,-10.4288,-6.29772,-5.41765,-5.48922
"20",NA,"X8_CACPFV",-5.93077,-5.493,-6.56473,-5.90763,-5.84238,-2.80198,-1.81679,-2.73381,-4.75967,-9.02529,-5.83884,-5.81873,-5.92298,-5.97494,-5.90075,-5.93084,-4.40834,-6.68315,-7.12087,-5.04877,-5.493,-5.04395,-4.11969,-5.44567,-5.5456,-5.15684,-5.90099
"21",NA,"X9_OR_RECOB",0.616586,0.630726,0.562605,0.618,0.606374,0.632345,0.641215,0.63262,0.639174,0.653767,0.615155,0.616458,0.6166,0.614363,0.614965,0.616585,0.593442,0.625218,0.631628,0.6041,0.630726,0.958261,0.666193,0.626353,0.659532,0.672256,0.614963
"22",NA,"X10_TRI_ORWA",-1.48889,-1.23309,-1.77903,-1.46606,-1.45029,-0.0764892,0.783643,-0.0282678,-1.17471,-1.71302,-1.45238,-1.44376,-1.48756,-1.47467,-1.46081,-1.4889,-1.48189,-1.4343,-1.44607,-1.49231,-1.23309,-1.44681,2.23702,-0.0826978,-1.25884,-1.59634,-1.46084
"23",NA,"X11_NWFSC_ORWA",-5.5521,-5.60941,-5.48439,-5.56466,-5.57089,-5.654,-5.69337,-5.65669,-5.4759,-5.68903,-5.563,-5.55837,-5.55142,-5.569,-5.56354,-5.55211,-5.56612,-5.56149,-5.54871,-5.55868,-5.60941,-5.5535,-5.50287,-5.70716,-5.41223,-5.50529,-5.56356
"24",NA,"X12_IPHC_ORWA",-0.0957312,-0.384265,0.061299,-0.16354,-0.201187,-0.681878,-1.15184,-0.703644,0.165845,-0.89533,-0.153316,-0.137923,-0.0933232,-0.180935,-0.159401,-0.095768,-0.107089,-0.170264,-0.112156,-0.0969487,-0.384265,0.395141,-2.81392,-1.32075,0.45663,0.18963,-0.159509
"3","Survey_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"X1_CA_TWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",NA,"X2_CA_NONTWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",NA,"X3_CA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29",NA,"X4_ORWA_TWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",NA,"X5_ORWA_NONTWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31",NA,"X6_OR_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",NA,"X7_WA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",NA,"X8_CACPFV",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",NA,"X9_OR_RECOB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",NA,"X10_TRI_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"36",NA,"X11_NWFSC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",NA,"X12_IPHC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
