ParName   Value   Gradient
MGparm[2]       6.5791 7.07421e-006
MGparm[3]      64.9948 4.95522e-005
MGparm[4]    0.0667421 2.50099e-005
MGparm[5]     0.203783 2.22131e-006
MGparm[6]    0.0546345  1.2882e-005
MGparm[15]       1.7923 -2.09379e-005
SR_parm[1]      6.35462 3.49179e-005
recdev_early(1889)   0.00445808 2.09236e-007
recdev_early(1890)   0.00468264 3.53189e-007
recdev_early(1891)   0.00492434 5.32653e-007
recdev_early(1892)   0.00518503 3.71047e-007
recdev_early(1893)   0.00546862 6.99071e-007
recdev_early(1894)   0.00577809 4.86091e-007
recdev_early(1895)   0.00611035 2.45525e-007
recdev_early(1896)   0.00646792 3.98029e-007
recdev_early(1897)   0.00685101 4.94299e-007
recdev_early(1898)   0.00727226 4.71813e-007
recdev_early(1899)   0.00773532 4.11367e-007
recdev_early(1900)   0.00820662 9.15823e-007
recdev_early(1901)   0.00870673 4.73478e-007
recdev_early(1902)   0.00927164 6.34823e-007
recdev_early(1903)   0.00987086 3.98466e-007
recdev_early(1904)     0.010534  2.8815e-007
recdev_early(1905)    0.0112717 7.20918e-007
recdev_early(1906)    0.0120957 6.66355e-007
recdev_early(1907)    0.0130443 8.22285e-007
recdev_early(1908)    0.0141048 4.92151e-007
recdev_early(1909)    0.0152654 4.14133e-007
recdev_early(1910)    0.0165381 5.14419e-007
recdev_early(1911)    0.0179063 3.96634e-007
recdev_early(1912)    0.0193345 6.07672e-007
recdev_early(1913)    0.0207131 3.05419e-007
recdev_early(1914)    0.0219208 2.87977e-007
recdev_early(1915)    0.0227716 6.15632e-007
recdev_early(1916)    0.0230745 5.66331e-007
recdev_early(1917)    0.0226071 6.86177e-007
recdev_early(1918)    0.0210183  7.0622e-007
recdev_early(1919)    0.0180201 5.93085e-007
recdev_early(1920)    0.0133998 5.86487e-007
recdev_early(1921)   0.00705783 4.90096e-007
recdev_early(1922)  -0.00095288 6.97426e-007
recdev_early(1923)   -0.0104059 3.45169e-007
recdev_early(1924)   -0.0208974 7.80001e-007
recdev_early(1925)   -0.0318556 1.14815e-006
recdev_early(1926)   -0.0425146  8.7242e-007
recdev_early(1927)     -0.05195 8.36021e-007
recdev_early(1928)   -0.0591902 1.57468e-006
recdev_early(1929)   -0.0633239 1.33252e-006
recdev_early(1930)   -0.0637595 8.10484e-007
recdev_early(1931)   -0.0605173 1.27503e-006
recdev_early(1932)   -0.0543362 1.20496e-006
recdev_early(1933)   -0.0468335 6.51684e-007
recdev_early(1934)   -0.0403021 7.11557e-007
recdev_early(1935)   -0.0371097 5.11827e-007
recdev_early(1936)   -0.0387313 1.07245e-006
recdev_early(1937)   -0.0448757 3.84021e-007
recdev_early(1938)   -0.0533379 1.15496e-006
recdev_early(1939)    -0.060726 8.61641e-007
recdev_early(1940)   -0.0636474 1.26617e-006
recdev_early(1941)   -0.0594003 5.59694e-007
recdev_early(1942)    -0.045609 1.46697e-006
recdev_early(1943)   -0.0192041 1.48808e-006
recdev_early(1944)     0.024298 4.46929e-007
recdev_early(1945)    0.0899136  6.3282e-007
recdev_early(1946)     0.179689 8.78307e-007
recdev_early(1947)       0.2856 1.35356e-006
recdev_early(1948)     0.376057 -5.08835e-007
recdev_early(1949)     0.387104 4.86366e-007
recdev_early(1950)     0.284215 1.03389e-006
recdev_early(1951)     0.117793 1.20728e-006
recdev_early(1952)    -0.051111 7.63148e-007
recdev_early(1953)    -0.188846 9.97121e-007
recdev_early(1954)    -0.280731   1.508e-006
recdev_early(1955)    -0.320994 1.35817e-006
recdev_early(1956)    -0.307989 1.27437e-006
recdev_early(1957)    -0.247581   1.609e-007
recdev_early(1958)    -0.160019  6.7922e-007
recdev_early(1959)   -0.0828824 1.46172e-006
recdev_early(1960)   -0.0789358 1.28245e-006
recdev_early(1961)    -0.195011 2.19332e-006
recdev_early(1962)    -0.373904 9.11076e-007
recdev_early(1963)    -0.514713 9.52979e-007
recdev_early(1964)    -0.539435 1.68894e-006
recdev_early(1965)    -0.415269 1.57004e-006
recdev_early(1966)    -0.219092 1.51209e-006
recdev_early(1967)   -0.0834641 -2.15352e-007
recdev_early(1968)    0.0924475 -1.15765e-006
recdev_early(1969)      0.30136 -1.57752e-006
recdev_early(1970)     0.517123 -2.44917e-006
recdev_early(1971)     0.750916 -3.96686e-006
recdev_early(1972)     0.263856 -1.91603e-006
recdev_early(1973)    -0.034859 -1.29301e-006
recdev_early(1974)    -0.108138 1.62089e-006
recdev_early(1975)     0.207927 2.45611e-006
recdev_early(1976)     0.158427 4.36324e-006
recdev_early(1977)    0.0883587 2.87427e-006
recdev_early(1978)   -0.0900471 2.64234e-006
recdev_early(1979)   0.00051974 9.44261e-007
recdev1(1980)     0.299249 1.63682e-006
