ParName   Value   Gradient
SR_parm[1]      5.24237 -6.06927e-05
recdev1(1970)     0.189994 -8.23597e-06
recdev1(1971)     0.154422 -2.94433e-06
recdev1(1972)     0.212476   7.9194e-06
recdev1(1973)     0.276597   6.9163e-06
recdev1(1974)     0.338947  1.88298e-05
recdev1(1975)     0.139263  5.30376e-06
recdev1(1976)   -0.0894318  5.42942e-06
recdev1(1977)    -0.181733 -1.04935e-05
recdev1(1978)    -0.215996  7.38449e-06
recdev1(1979)     0.122412  1.15436e-07
recdev1(1980)    0.0259012  5.64629e-06
recdev1(1981)     -0.54651  2.99967e-06
recdev1(1982)    -0.506439  6.31713e-07
recdev1(1983)     0.328973 -2.20977e-07
recdev1(1984)      1.60068 -6.55443e-06
recdev1(1985)    -0.330512  9.98717e-07
recdev1(1986)     -0.14029 -1.45533e-05
recdev1(1987)     0.989202   -3.331e-07
recdev1(1988)   -0.0691596  6.98748e-07
recdev1(1989)    -0.451903  2.38767e-06
recdev1(1990)    -0.235018  3.80024e-06
recdev1(1991)    -0.185885  2.51448e-06
recdev1(1992)    -0.497324  4.72221e-06
recdev1(1993)    0.0369752  2.02391e-06
recdev1(1994)     0.425992  9.68091e-06
recdev1(1995)     0.271009  1.20808e-06
recdev1(1996)    -0.146393  9.12145e-07
recdev1(1997)     0.161531  4.17314e-06
recdev1(1998)    0.0170591  9.36122e-06
recdev1(1999)     0.536613 -2.13741e-06
recdev1(2000)    -0.633869 -2.93979e-06
recdev1(2001)    -0.180067  -4.5891e-06
recdev1(2002)     0.865007 -2.44315e-06
recdev1(2003)   -0.0270406  1.57093e-06
recdev1(2004)    -0.361504 -7.65441e-08
recdev1(2005)     0.186744 -3.88541e-06
recdev1(2006)    0.0506141  8.91586e-07
recdev1(2007)   -0.0396526  2.29762e-06
recdev1(2008)    -0.117468 -4.96475e-08
recdev1(2009)    -0.202677  3.64414e-06
recdev1(2010)    -0.615709 -2.68454e-07
recdev1(2011)    -0.532259  1.50604e-06
recdev1(2012)    -0.307262  1.37041e-06
recdev1(2013)    -0.270856 -1.13547e-06
recdev1(2014)    -0.118989  2.52981e-06
recdev1(2015)     0.156798  1.41698e-06
recdev1(2016)   -0.0832682  1.37514e-06
Fcast_recruitments(2017)    -0.100403  -1.1736e-06
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Q_parm[2]     0.394877 -2.08991e-05
selparm[7]      37.2788 -7.84846e-06
selparm[8]     -2.74987  -1.3228e-06
selparm[9]     0.832675  2.31987e-07
selparm[10]     -2.75501  8.41453e-08
selparm[12]     -3.47578  -1.4073e-07
selparm[13]      37.8637 -2.43431e-05
selparm[14]       -1.678 -2.24034e-06
selparm[15]      5.98114  4.40962e-05
selparm[16]     -2.17823 -2.78077e-07
selparm[18]      2.32161  2.21243e-07
selparm[19]      34.2777 -2.52828e-05
selparm[20]    -0.968326 -3.89896e-07
selparm[21]      4.22544  2.19981e-05
selparm[27]      44.1737 -2.52903e-07
selparm[28]     -3.20019   4.8345e-07
selparm[29]      3.74776 -8.67189e-07
selparm[30]      3.08995 -7.45089e-07
selparm[31]     -1.71567 -7.22507e-06
selparm[32]      44.8725 -2.97281e-05
selparm[33]     -1.91064  1.06372e-07
selparm[34]      4.68905  4.91433e-05
