"","Label","Type","Reference","M: Fix to 2009","M: Fix to prior","M: Fix to Hamel","M: Fix to VBGF","M: Fix to OR","VBGF 2009","VBGF Grebel","OR maturity","Est. h","All rec devs","No rec devs","High bias adj.","Harmonic mean","Dirichlet","Wts = 1","No blocks","First blocks in 2000","Alt rec catches"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"AIC",867.572,875.334,866.608,883.952,881.416,884.12,911.24,1102.438,873.182,866.528,864.984,934.988,865.64,923.582,1543.534,2136.804,924.154,864.162,867.734
"10",NA,"deltaAIC",0,7.76199999999994,-0.964000000000055,16.38,13.8440000000001,16.548,43.668,234.866,5.61000000000001,-1.04399999999998,-2.58799999999997,67.4160000000001,-1.93200000000002,56.01,675.962,1269.232,56.582,-3.40999999999997,0.162000000000035
"2","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"ALL",-3.62229,-3.4281,-3.74829,-3.10556,-3.9897,-3.10536,-2.76051,-5.74843,-4.01932,-3.39084,-7.55107,3.25338,-4.16777,-3.09349,-1.43876,-1.33759,-0.601556,-4.38333,-4.45473
"12",NA,"FISHERY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",NA,"FISHERY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",NA,"FISHERY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",NA,"FISHERY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",NA,"SURVEY1",-3.62229,-3.4281,-3.74829,-3.10556,-3.9897,-3.10536,-2.76051,-5.74843,-4.01932,-3.39084,-7.55107,3.25338,-4.16777,-3.09349,-1.43876,-1.33759,-0.601556,-4.38333,-4.45473
"3","Survey_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"FISHERY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",NA,"FISHERY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"FISHERY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",NA,"FISHERY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",NA,"SURVEY1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Lt_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"ALL",344.482,348.202,346.499,352.168,351.665,352.241,364.269,463.537,348.188,344.164,345.341,373.086,348.194,369.772,674.19,954.048,362.803,343.381,345.992
"24",NA,"FISHERY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",NA,"FISHERY2",37.6586,37.1505,37.5814,36.756,40.478,36.757,38.9974,36.8326,37.6763,37.7504,37.6325,37.8981,37.6432,64.7524,214.612,479.532,37.2433,37.7302,37.8573
"26",NA,"FISHERY3",161.377,164.133,163.139,164.293,166.819,164.311,173.7,274.567,164.983,160.901,161.884,169.03,164.979,88.4551,101.597,106.385,159.098,160.542,163.573
"27",NA,"FISHERY4",145.446,146.919,145.779,151.119,144.368,151.173,151.572,152.137,145.528,145.512,145.825,166.158,145.572,216.564,357.981,368.131,166.461,145.109,144.561
"28",NA,"SURVEY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Lt_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"FISHERY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",NA,"FISHERY2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",NA,"FISHERY3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",NA,"FISHERY4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",NA,"SURVEY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,"NatM_p_1_Fem_GP_1",0.247707,0.25,0.288,0.312,0.251,0.314,0.23106,0.289752,0.267453,0.236763,0.262955,0.260566,0.271751,0.254689,0.240639,0.210122,0.242632,0.246577,0.246398
"38",NA,"L_at_Amin_Fem_GP_1",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,8.66699,15,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"39",NA,"L_at_Amax_Fem_GP_1",55.8246,55.8246,55.8246,55.8246,55.8246,55.8246,60.1935,64.72,55.8246,55.8246,55.8246,55.8246,55.8246,55.8246,55.8246,55.8246,55.8246,55.8246,55.8246
"40",NA,"VonBert_K_Fem_GP_1",0.213579,0.213579,0.213579,0.213579,0.213579,0.213579,0.149306,0.17,0.213579,0.213579,0.213579,0.213579,0.213579,0.213579,0.213579,0.213579,0.213579,0.213579,0.213579
"41",NA,"CV_young_Fem_GP_1",0.160146,0.160146,0.160146,0.160146,0.160146,0.160146,0.10356,0.1,0.160146,0.160146,0.160146,0.160146,0.160146,0.160146,0.160146,0.160146,0.160146,0.160146,0.160146
"42",NA,"CV_old_Fem_GP_1",0.160883,0.160883,0.160883,0.160883,0.160883,0.160883,0.179907,0.1,0.160883,0.160883,0.160883,0.160883,0.160883,0.160883,0.160883,0.160883,0.160883,0.160883,0.160883
"43",NA,"Wtlen_1_Fem_GP_1",9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06,9.204e-06
"44",NA,"Wtlen_2_Fem_GP_1",3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187,3.187
"45",NA,"Mat50%_Fem_GP_1",34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,43.7,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6
"46",NA,"Mat_slope_Fem_GP_1",-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.37,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
"47",NA,"Eggs/kg_inter_Fem_GP_1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",NA,"Eggs/kg_slope_wt_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",NA,"NatM_p_1_Mal_GP_1",0.352577,0.3,0.397,0.312,0.489,0.314,0.300443,0.419405,0.38898,0.339377,0.372743,0.361174,0.392314,0.407339,0.440496,0.519827,0.317038,0.345943,0.386477
"50",NA,"L_at_Amin_Mal_GP_1",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,8.95005,18,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"51",NA,"L_at_Amax_Mal_GP_1",42.1017,42.1017,42.1017,42.1017,42.1017,42.1017,42.3643,44.1,42.1017,42.1017,42.1017,42.1017,42.1017,42.1017,42.1017,42.1017,42.1017,42.1017,42.1017
"52",NA,"VonBert_K_Mal_GP_1",0.337681,0.337681,0.337681,0.337681,0.337681,0.337681,0.268778,0.35,0.337681,0.337681,0.337681,0.337681,0.337681,0.337681,0.337681,0.337681,0.337681,0.337681,0.337681
"53",NA,"CV_young_Mal_GP_1",0.425145,0.425145,0.425145,0.425145,0.425145,0.425145,0.277107,0.1,0.425145,0.425145,0.425145,0.425145,0.425145,0.425145,0.425145,0.425145,0.425145,0.425145,0.425145
"54",NA,"CV_old_Mal_GP_1",0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0915115,0.1,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232,0.0741232
"55",NA,"Wtlen_1_Mal_GP_1",1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05,1.163e-05
"56",NA,"Wtlen_2_Mal_GP_1",3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118,3.118
"57",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"59",NA,"SR_LN(R0)",5.33414,5.24237,5.668,5.71758,5.3115,5.73682,5.20697,5.07793,5.47889,5.13254,5.43373,5.46373,5.52754,5.32351,5.16174,4.86184,5.11876,5.34378,5.11214
"60",NA,"SR_BH_steep",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.967338,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"61",NA,"SR_sigmaR",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"62",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",NA,"Main_RecrDev_1970",0.190389,0.189994,0.313757,0.38715,0.132093,0.393447,0.278721,0.157442,0.204969,0.225368,0.176719,NA,0.194926,0.297289,0.286844,0.178562,-0.286399,0.23854,0.252312
"65",NA,"Main_RecrDev_1971",0.176086,0.154422,0.218135,0.222311,0.164471,0.224422,0.191657,0.29667,0.171698,0.206922,0.182078,NA,0.160774,0.293762,0.385681,0.395941,-0.218702,0.225043,0.191621
"66",NA,"Main_RecrDev_1972",0.237177,0.212476,0.223712,0.20707,0.249128,0.207123,0.203253,0.0906874,0.21408,0.261895,0.262807,NA,0.206955,0.359648,0.490226,0.603857,0.0499653,0.271087,0.20118
"67",NA,"Main_RecrDev_1973",0.288508,0.276597,0.270296,0.257454,0.310254,0.257115,0.310207,0.299934,0.267882,0.315378,0.307314,NA,0.268367,0.42038,0.512482,0.582575,0.410685,0.270998,0.22542
"68",NA,"Main_RecrDev_1974",0.359392,0.338947,0.349664,0.319451,0.424672,0.319441,0.311058,0.301996,0.352477,0.38828,0.373613,NA,0.358172,0.604041,0.794898,0.914403,0.494096,0.322151,0.277819
"69",NA,"Main_RecrDev_1975",0.149702,0.139263,0.135046,0.103178,0.240667,0.102667,0.186306,0.347768,0.161241,0.177434,0.169288,NA,0.167175,0.316508,0.44041,0.58674,0.161705,0.13508,0.0506194
"70",NA,"Main_RecrDev_1976",-0.103515,-0.0894318,-0.123551,-0.162051,0.0440295,-0.163576,-0.0795971,0.28465,-0.0615833,-0.0753058,-0.0890879,NA,-0.0549473,-0.0606044,-0.000809119,0.178123,-0.114512,-0.108287,-0.194786
"71",NA,"Main_RecrDev_1977",-0.22482,-0.181733,-0.239066,-0.277764,-0.0201017,-0.280095,-0.148193,-0.0463925,-0.158964,-0.193065,-0.21789,NA,-0.147269,-0.225399,-0.165826,0.0470697,-0.130405,-0.232344,-0.303491
"72",NA,"Main_RecrDev_1978",-0.262259,-0.215996,-0.300587,-0.311448,-0.141104,-0.314482,-0.533123,-0.0684612,-0.236937,-0.217994,-0.266194,NA,-0.223197,-0.380662,-0.432985,-0.265677,-0.130786,-0.286223,-0.363876
"73",NA,"Main_RecrDev_1979",0.144989,0.122412,0.0688821,0.00977052,0.259707,0.00694793,0.278275,0.0815469,0.116934,0.190732,0.148921,NA,0.144658,0.0877212,0.127132,0.322279,0.11744,0.137001,0.00233211
