ParName   Value   Gradient
MGparm[2]      8.34963 1.09007e-005
MGparm[3]      63.4764  0.000102732
MGparm[4]    0.0655464 5.77778e-005
MGparm[5]     0.188642 4.85671e-006
MGparm[6]    0.0545998 4.36347e-006
MGparm[15]     0.421839 -3.11152e-005
SR_parm[1]      5.38019  0.000248191
recdev_early(1889)  -0.00579904 7.82406e-007
recdev_early(1890)  -0.00597141 8.81252e-007
recdev_early(1891)  -0.00614583 4.80748e-007
recdev_early(1892)  -0.00632552 1.62738e-006
recdev_early(1893)  -0.00650741 6.76455e-007
recdev_early(1894)   -0.0066943 6.34367e-007
recdev_early(1895)   -0.0068855 1.45189e-006
recdev_early(1896)  -0.00708333 1.63105e-006
recdev_early(1897)   -0.0072884 4.67894e-007
recdev_early(1898)  -0.00749552 9.99559e-007
recdev_early(1899)  -0.00770138 1.37419e-006
recdev_early(1900)  -0.00792902 1.97949e-006
recdev_early(1901)  -0.00814745 3.73884e-007
recdev_early(1902)  -0.00834638 1.04144e-006
recdev_early(1903)  -0.00859309 1.46614e-006
recdev_early(1904)  -0.00882907 2.03031e-006
recdev_early(1905)  -0.00904482 9.96872e-007
recdev_early(1906)  -0.00923682 8.97779e-007
recdev_early(1907)  -0.00936054 1.66658e-006
recdev_early(1908)  -0.00944727 1.65366e-006
recdev_early(1909)  -0.00951132 1.98172e-006
recdev_early(1910)   -0.0095502 1.22651e-006
recdev_early(1911)  -0.00957639 1.94894e-006
recdev_early(1912)  -0.00960912 1.59806e-006
recdev_early(1913)  -0.00974889 1.94747e-006
recdev_early(1914)   -0.0100934 1.86542e-006
recdev_early(1915)   -0.0108275 2.00505e-006
recdev_early(1916)   -0.0121156 2.09493e-006
recdev_early(1917)   -0.0141859  2.0641e-006
recdev_early(1918)   -0.0173522 1.98636e-006
recdev_early(1919)   -0.0218879 2.34425e-006
recdev_early(1920)   -0.0279991 2.11771e-006
recdev_early(1921)   -0.0357746 2.25272e-006
recdev_early(1922)   -0.0451674  2.5141e-006
recdev_early(1923)   -0.0559773 2.40306e-006
recdev_early(1924)   -0.0678294 2.52486e-006
recdev_early(1925)   -0.0801871  2.3115e-006
recdev_early(1926)   -0.0923425 2.43346e-006
recdev_early(1927)    -0.103444 2.39869e-006
recdev_early(1928)    -0.112618   2.291e-006
recdev_early(1929)    -0.119097  2.3791e-006
recdev_early(1930)    -0.122425  2.3301e-006
recdev_early(1931)    -0.122766 2.49607e-006
recdev_early(1932)    -0.120987 2.62258e-006
recdev_early(1933)    -0.118641  2.8026e-006
recdev_early(1934)    -0.117757 3.00486e-006
recdev_early(1935)    -0.120138 3.15126e-006
recdev_early(1936)    -0.126532 2.97631e-006
recdev_early(1937)    -0.136041 2.70686e-006
recdev_early(1938)    -0.146296 3.35243e-006
recdev_early(1939)    -0.154193 3.38673e-006
recdev_early(1940)    -0.156889 3.30834e-006
recdev_early(1941)    -0.152072  3.4113e-006
recdev_early(1942)    -0.137448 3.39301e-006
recdev_early(1943)    -0.109842 3.68496e-006
recdev_early(1944)   -0.0648705 4.15284e-006
recdev_early(1945)   0.00143734 4.45821e-006
recdev_early(1946)    0.0888628 5.06505e-006
recdev_early(1947)     0.186009 5.93042e-006
recdev_early(1948)     0.260719 6.13562e-006
recdev_early(1949)     0.261335 6.52841e-006
recdev_early(1950)     0.166461 6.08677e-006
recdev_early(1951)    0.0162703  4.9465e-006
recdev_early(1952)    -0.137158 4.42829e-006
recdev_early(1953)    -0.261746 3.92378e-006
recdev_early(1954)    -0.342576  3.3171e-006
recdev_early(1955)    -0.373209 2.87574e-006
recdev_early(1956)    -0.351459 2.92621e-006
recdev_early(1957)    -0.282689 3.15357e-006
recdev_early(1958)    -0.186384 3.83821e-006
recdev_early(1959)    -0.101237  4.1012e-006
recdev_early(1960)   -0.0945345 4.10579e-006
